Title,Original Title,Subtitle,Series,Volume,Author,"Author (Last, First)",Illustrator,Narrator,Translator,Photographer,Editor,Publisher,Place of Publication,Date Published,Year Published,Original Date Published,Original Year Published,Edition,Genre,Summary,Guided Reading Level,Lexile Measure,Lexile Code,Grade Level Equivalent,Developmental Reading Assessment,Interest Level,AR Level,AR Points,AR Quiz Number,Word Count,Number of Pages,Format,Audio Runtime,Dimensions,Weight,List Price,Language,Original Language,DDC,LCC,LCCN,OCLC,ISBN,Favorites,Rating,Physical Location,Status,Date Started,Date Finished,Current Page,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Returned from Borrow,Quantity,Condition,Recommended By,Date Added,User Supplied ID,Tags,Purchase Date,Purchase Place,Purchase Price,Notes,Google VolumeID,Category,Wish List,Up Next,Position,Uploaded Image URL,Activities
Les grands textes du bouddhisme,,,,,Pierre Crépon,"Crépon, Pierre",,,,,,Albin Michel,,2016/11/02,2016,,,,,"Bien que le bouddhisme ne soit pas une religion du Livre, les écritures bouddhiques qui servent de référence aux différentes écoles forment un ensemble monumental. Ces textes de longueurs variées, et issus de traditions différentes, regroupent des sermons attribués au Bouddha, des commentaires sur la Doctrine, des traités de méditation, des poèmes, des échanges philosophiques, des aphorismes... Dans cette anthologie raisonnée, précédemment parue sous le titre Les Fleurs de Bouddha, Pierre Crépon nous propose un parcours passionnant, avec un choix de textes, situés dans leur contexte historique et doctrinal, qui donne à ressentir la saveur de la religion de l'Éveil. L'ensemble forme une synthèse inégalée et très accessible de la littérature fondatrice du bouddhisme, véritable joyau du patrimoine spirituel et culturel de l'humanité.",,,,,,,,,,,352,,,,,,français,,,,,,9782226326522,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:44:30.648643016,,,,,,,WgRxvgAACAAJ,"Religion, Spiritualité",0,0,,http://images.amazon.com/images/P/2226326529.01Z.jpg,
Les Hauts de Hurle-Vent,,,,,Emily Brontë,"Brontë, Emily",,,,,,Librairie générale française,,1974/07/01,1974,,,,Fiction,"Les Hauts de Hurle-Vent sont des terres balayA(c)es par les vents du nord. Une famille y vivait, heureuse, quand un jeune bohA(c)mien attira le malheur. Mr. Earnshaw avait adoptA(c) et aimA(c) Heathcliff. Mais ses enfants l'ont mA(c)prisA(c). Cachant son amour pour Catherine, la fille de son bienfaiteur, Heathcliff prA(c)pare une vengeance diabolique. Il s'approprie la fortune de la famille et rA(c)duit les hA(c)ritiers en esclavage. La malA(c)diction pA]sera sur toute la descendance jusqu'au jour oA la fille de Catherine aimera A son tour un Aatre misA(c)rable et fruste. Ce roman anglais, le plus cA(c)lA]bre du XIXe siA]cle A nos jours, a A(c)tA(c) A(c)crit par une jeune fille qui vivait avec ses soeurs au milieu des landes de bruyA]re. Elle ne connut jamais cette passion violente ni cette haine destructrice. Elle imagina tout, mAame le fantAme de la femme aimA(c)e revenant tourmenter l'orgueilleux qui l'a tuA(c)e.A",,,,,,,,,,,477,,,,,,français,,,,,,9782253004752,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:37:15.676107048,,,,,,,QQOEQgAACAAJ,Roman,0,0,,,
Les hommes qui n'aimaient pas les femmes,,Millenium,,,Stieg Larsson,"Larsson, Stieg",,,,,,Actes sud,,2011/12/31,2011,,,,,"Contraint d'abandonner son poste de rédacteur pour avoir diffamé un requin de la finance, Mikael Blomkvist est bientôt associé à Lisbeth Salander, jeune femme rebelle et fouineuse, pour travailler avec Henrik Vanger, un industriel désireux de faire la lumière sur la disparition, vieille de plus de trente ans, de sa petite nièce, au cours d'une réunion familiale... Le premier volet de la série culte.",,,,,,,,,,,705,,,,,,français,,,,,,9782330004996,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:37:15.677773952,,,,,,,ZvB3twAACAAJ,Roman,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/A655E8B7-34CF-4E09-BF37-5A991DD1139C,
Les instructions orales du mahamoudra,,L'essence même des enseignements de Bouddha du soutra et du tantra,,,Guéshé Kelsang Gyatso,"Gyatso, Guéshé Kelsang",,,,,,Editions Tharpa,,2016/08/01,2016,,,,Religion,"Ce précieux livre nous révèle la pratique non commune du mahamoudra tantrique de la Lignée Orale Gandèn, que l’auteur a reçue directement de son guide spirituel, Dordjétchang Tridjang Rinpotché. Ce livre explique de façon claire et concise la totalité de la voie spirituelle, depuis les pratiques préliminaires initiales jusqu’aux étapes de réalisation finales du tantra du yoga suprême qui nous permet d’atteindre la pleine illumination au cours de cette vie. En suivant le texte racine du mahamoudra, La Voie principale des conquérants, écrit par le premier Pantchèn Lama, ce livre nous donne des explications extrêmement claires et faciles à comprendre, basées sur l’expérience que l’auteur a acquise au cours de nombreuses années de retraite.",,,,,,,,,,,336,,,,,,français,,,,,,9791090820517,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:44:30.677688002,,,,,,,_nt1DwAAQBAJ,"Religion, Spiritualité",0,0,,,
Les mécanismes du sommeil,,rythmes et pathologies,,,Royant-Parola,Royant-Parola,,,,,,le Pommier,,,2007,,,,,"Que se passe-t-il quand nous dormons ? Quand nous rêvons ? Que savons-nous du sommeil, de ses cycles et des ses troubles ? la structure, al durée du sommeil dans la journée ne sont pas les mêmes chez tous les animaux ni chez tous les mêmes hommes ; sa place est régie par l'horloge biologique : dormir est une histoire de rythmes. Le sommeil est indispensable à la vie, primordial pour être en forme, garder le moral ou maintenir un bon équilibre métabolique. Des pathologies le caractérisent pourtant : insomnies, apnées du sommeil, agitations, cauchemars, somnambulisme concernent plus de 10% des dormeurs. Fort heureusement, la médecine du sommeil progresse et des solutions existent.",,,,,,,,,,,173,,,,,,français,,,,,,9782746503519,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:05:30.652340054,,,,,,,Y9qoPAAACAAJ,Études,0,0,,http://images.amazon.com/images/P/2746503514.01Z.jpg,
"Les Mille et une nuits (contes choisis), tome 3",,,,,Anonymous,Anonymous,,,,,,Gallimard,,,,,,,,,,,,,,,,,,,715,,,,,,français,,,,,,9782070393855,0,1.000000,,Unread,,,,,,,,0,,,,2020/04/14 14:46:02.518522024,,Monde Arabe,,,,,,"Mythologie, Contes et autres histoires",0,0,,https://covers.openlibrary.org/b/id/968194-L.jpg,
Les mots sont des fenêtres (ou bien ce sont des murs),,Initiation à la communication non-violente,,,Marshall B. Rosenberg,"Rosenberg, Marshall B.",,,,,,Le découverte,,,2016,,,,,,,,,,,,,,,,320,,,,,,français,,,,,,9782707188793,0,0.000000,,Read,,2019/07/28,,,,,,0,,,,2019/07/28 18:07:28.845100045,,,,,,,,Études,0,0,,https://covers.openlibrary.org/b/id/8055401-L.jpg,"[{""status"":0,""activityYear"":2019,""param1"":""0"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Laura"",""type"":12,""addedDate"":""2019\/07\/28 18:30:31.788588047"",""activityDate"":""2019\/07\/28""}]"
Les Parisiens,,roman,,,Olivier Py,"Py, Olivier",,,,,,Actes sud,,,2016,,,,,,,,,,,,,,,,536,,,,,,français,,,,,,9782330066536,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:02:29.010190010,,,,,,,,Roman,0,0,,http://images.amazon.com/images/P/2330066538.01Z.jpg,
Les pièges de la culture,,Les contradictions démocratiques du multiculturalisme,,,Jens-Martin Eriksen,"Eriksen, Jens-Martin",,,,,,MētisPresses,,,2012,,,,,,,,,,,,,,,,394,,,,,,français,,,,,,9782940406470,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.880280017,,,,,,,,Essai,0,0,,http://images.amazon.com/images/P/2940406472.01Z.jpg,
Les poésies d'amour,,,,,Rainer Maria Rilke,"Rilke, Rainer Maria",,,,,,Circé,,,2015,,,,,,,,,,,,,,,,143,,,,,,français,Allemand,,,,,9782842423803,0,1.000000,,Unread,,,,,,,,0,,,,2020/05/16 21:47:09.825054049,,Bilingue,,,,,,Poésie,0,0,,http://images.amazon.com/images/P/2842423801.01Z.jpg,
Les pouvoirs du féminin sacré,,Ce que le bouddhisme apporte aux femmes,,,Tsultrim Allione,"Allione, Tsultrim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,9782890449053,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:44:30.657011985,,,,,,,,"Religion, Spiritualité",0,0,,http://images.amazon.com/images/P/289044905X.01Z.jpg,
Les sentiments du prince Charles,,,,,Liv Strömquist,"Strömquist, Liv",,,,,,Rackham,,2016/05/14,2016,,,,,"Est-ce que l'amour « naîtrait de la négociation entre des individus libres d'un contrat exclusif et de préférence permanent qui régit le droit de propriété sur le corps du partenaire ? » Telle est, en substance, la question à laquelle tente de répondre Liv Strömquist en analysant les rôles et comportements de chacun. Entre situations du quotidien, historique du mariage, des relations amoureuses et exemples choisis méthodiquement, l'auteure tente de remettre quelques idées en place : la femme qui, historiquement, n'a pas bénéficié du même droit de propriété sur le corps de l'homme, la limite ténue entre haine et amour, les bienfaits inattendus du divorce, la monogamie à l'épreuve de l'adultère, les rituels nécessaires mais ridicules, l'esprit de sacrifice qui affecte les femmes, l'amour comme objet de commerce soumis à la loi de l'offre et de la demande. Hommes et femmes seraient-ils prisonniers de constructions historiques aliénantes ou exprimeraient-ils simplement leur amour différemment, par nature ? Via « un travail de soin » pour les femmes, via l'expérimentation de « l'extase » pour les hommes ? Réponse en image et en mots, avec Whitney, Charles, Diana, les Reagan ou les Einstein... -- [planetebd.com].",,,,,,,,,,,136,,,,,,français,,,,,,9782878271980,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:37:15.693766951,,,,,,,wI8LkAEACAAJ,Bande Dessinée,0,0,,http://images.amazon.com/images/P/287827198X.01Z.jpg,
Les sociétés matriarcales,,Recherches sur les cultures autochtones à travers le monde,,,Heide Göttner-Abendroth,"Göttner-Abendroth, Heide",,,,,,Editions des Femmes,,2019/09/19,2019,,,,,"La 4e de couverture indique : ""Dans cet ouvrage pionnier, fondateur des recherches matriarcales modernes, Heide Goettner-Abendroth définit pour la première fois clairement et scientifiquement le concept de matriarcat, jusque-là décrié et opaque, qui lui permet de revisiter l'histoire culturelle de l'humanité. Dans un aller-retour permanent entre le terrain et la théorie, elle offre une vue d'ensemble des sociétés matriarcales dans le monde à travers l'étude de chacune d'entre elles, faisant apparaître que celles-ci ont non seulement précédé le système patriarcal apparu seulement vers 4000-3000 ans avant notre ère, mais qu'elles lui ont survécu jusqu'à ce jour sur tous les continents. Elle met en lumière que les sociétés matriarcales, loin d'être une image inversée du patriarcat, comme le prétend l'idéologie dominante dont l'autrice fait une critique radicale, sont des sociétés d'égalité et de partage entre les sexes. D'où l'utilité de leur étude pour aider les femmes et les peuples autochtones en particulier à penser une alternative au système de domination patriarcal et colonisateur.""",,,,,,,,,,,574,,,17.10 x 4.50 x 24.00 cm,,,français,,,,,1127536230,9782721007018,0,0.000000,,Unread,,,,,,,,0,,,,2020/06/11 16:15:26.438123941,,,2020/06/11,,,,8OjHyQEACAAJ,,0,0,,http://images.amazon.com/images/P/2721007017.01Z.jpg,
Les symboles du bouddhisme tibétain,,,,,Robert Beer,"Beer, Robert",,,,,,Albin Michel,,,2006,,,,Religion,"Support de méditation, langage au-delà des mots, le symbole est une voie royale vers l'Eveil. Le bouddhisme tibétain, notamment à travers ses rituels tantriques, a engendré un vocabulaire pictural d'une richesse foisonnante que ce manuel met pour la première fois à disposition du public francophone. Règnes minéral, végétal et animal, objets du quotidien et armes fantastiques, gestes d'amour et artefacts morbides : pour les maîtres du Vajrayana, chaque aspect de notre réalité peut devenir un appel à l'Illumination, pour peu qu'on y éduque notre regard intérieur. Robert Beer, qui pratique depuis plus de trente ans cet art, nous offre à travers près de trois cents articles illustrés un panorama exhaustif de cet aspect fondamental de la spiritualité tibétaine, y compris dans ses doctrines les plus secrètes et transgressives. Au-delà du public bouddhiste, cet ouvrage de référence s'avérera précieux pour tous ceux que fascine le langage symbolique, dont ils trouveront ici une expression surprenante et profonde.",,,,,,,,,,,433,,,,,,français,,,,,,9782226172778,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:44:30.690209031,,,,,,,8anUnAEACAAJ,"Religion, Spiritualité",0,0,,http://images.amazon.com/images/P/2226172777.01Z.jpg,
Les têtes de Stéphanie,,,,,Romain Gary,"Gary, Romain",,,,,,Gallimard,,,,,,,,,,,,,,,,,,,402,,,,,,français,,,,,,9782070452279,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 16:37:15.672983050,,,,,,,,Roman,0,0,,http://images.amazon.com/images/P/2070452271.01Z.jpg,
"Leur folie, nos vies",,La bataille de l'après,,,François Ruffin,"Ruffin, François",,,,,,les liens qui libèrent,,2020/06/03,2020,,,,Business & Economics,"Pendant le confinement, depuis sa cuisine, François Ruffin dessine le monde de demain.  On en était où ?Ah oui.On fonçait vers le gouffre, à vitesse accélérée. La calotte glaciaire fondait, les ours polaires se noyaient, le Mont-Blanc reculait, les oiseaux ne se cachaient même plus pour mourir. Et soudain, la planète s’arrête.C’est une crise, avec son cortège de drames.Mais c’est aussi une fenêtre.L’occasion d’une bifurcation.La mondialisation, le tout-marché, c’était « une folie », regrette le président. Et on nous le promet : « Il y aura un avant et un après ».L’espoir renaît.La crainte aussi.Car, déjà, tout repart comme avant, de l’avant, et même pire qu’avant...L’après se mérite.L’après est un champ de bataille.L’après est un combat, contre les forces obscures qui ne renoncent pas. Durant les deux mois de confinement, François Ruffin, journaliste et député de la Somme, a animé sa radio-cuisine, « L’An 01 ». Il a reçu des milliers d’alertes, et beaucoup d’invités : des infirmières bien sûr, un ambulancier, des auxiliaires de vie, des caissières, un libraire, un cariste de chez Amazon, un ouvrier de chez Valeo, une patronne de bar-tabac, un routier à l’arrêt... Des intellectuels, également, pour penser ce moment.En reporter, il passe ici cette crise au scalpel, en dresse un récit vivant. Et, en député, il ouvre des voies pour l’après : sur l’économie, la santé, la démocratie, l’égalité...",,,,,,,,,,,280,,,,,12.99 EUR,français,,,,,,9791020908803,0,0.000000,,Unread,,,,,,,,0,,,,2020/06/09 21:05:57.424060940,,,2020/06/09,,,,GwPoDwAAQBAJ,,0,0,,,
Libère-toi cyborg!,,le pouvoir transformateur de la science-fiction féministe,,,Ïan Larue,"Larue, Ïan",,,,,,Cambourakis,,,2018,,,,,"Gynoïdes, sorcières, vampires, chiennes et souris de laboratoire : toutes sont liées à la cyborg de Donna Haraway. Reprenant la liste d'auteurs et autrices de science-fiction féministe citées à la fin du Manifeste cyborg, ïan Larue redéfinit cette figure fondatrice dans la pensée de la philosophe :""La cyborg, c'est l'esclave noire qui apprend à lire dans un roman d'Octavia Butler ; la jeune fille encapsulée qui, loin de se sentir handicapée, connaît des milliers de connexions ; la fille-orque transportée dans les étoiles. La cyborg est l'hybride suprême, hybride entre une femme réelle et un personnage de roman qui se superpose à elle pour la doter de mille nouvelles possibilités dont celle, fondamentale, de faire éclater capitalisme, famille et patriarcat.""",,,,,,,,,,,251,,,,,,français,,,,,,9782366243727,0,0.000000,,Read,,2019/07/28,,,,,,0,,,,2019/07/28 18:07:28.854761004,,,,,,,k1nPvAEACAAJ,Essai,0,0,,http://images.amazon.com/images/P/2366243723.01Z.jpg,"[{""status"":0,""activityYear"":2019,""param1"":""0"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Laura"",""type"":12,""addedDate"":""2019\/07\/28 18:30:55.169559955"",""activityDate"":""2019\/07\/28""}]"
Libérer la colère,,,,,"Geneviève Morand, Natalie-Ann Roy","Morand, Geneviève",,,,,,Les Éditions du remue-ménage,,,2018,,,,Literary Collections,"Nous sommes en colère ! Ce fut une révélation. Une épiphanie. Ce sentiment est tellement honni pour les femmes. Nous vivions dans le déni. Nous ravalions le grondement. Déjà le dire. Se l'avouer. L'écrire. Le hurler. Nous sommes en colère. C'est le début de la libération. Geneviève Morand et Natalie-Ann Roy croient que si les femmes manquent de pratique, leur colère est nécessaire. Elles ont décidé de la prendre au sérieux, et de lui ouvrir un espace. Cette colère accumulée, longtemps cachée pour préserver les apparences d'harmonie, se déploie ici comme une puissance politique méconnue. Ce livre rassemble les témoignages, les coups de gueule et les réflexions d'auteures aux réalités variées. Ensemble, elles pulvérisent le mythe de la femme supportant les outrages en silence, comme celui de l'hystérique aux emportements absurdes. Leur indignation s'explique et s'assume ; encore faut-il avoir le courage de les écouter...",,,,,,,,,,,207,,,,,,anglais,,,,,,9782890916203,0,0.000000,,Read,,2019/07/28,,,,,,0,,,,2019/07/28 18:07:28.833385944,,,,,,,bLFLswEACAAJ,Essai,0,0,,http://images.amazon.com/images/P/2890916200.01Z.jpg,"[{""status"":0,""activityYear"":2019,""param1"":""0"",""param2"":""2"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Laura"",""type"":12,""addedDate"":""2019\/07\/28 18:31:03.892647027"",""activityDate"":""2019\/07\/28""}]"
Light Fantastic,,The Art and Design of Stage Lighting,,,Max Keller,"Keller, Max",,,,,,Prestel,,,2006,,,,Performing Arts,"A virtuoso in the field, Max Keller has set new standards of technical and artistic excellence. In this book he divulges his extensive knowledge of every aspect of stage lighting, from natural phenomena and the history of light in the theatre, to Goethe's and Runge's theories of colour, to the fundamentals of optics and projection. This revised edition of Light Fantastic includes new images from Keller's most recent productions as well as completely updated information on optics, lamps, lanterns, projection and lighting consoles. In more than 600 stunning photographs and illustrations, the power of Keller's expertise shines through, making this a visually exciting and highly informative work for those involved in theatre technology.",,,,,,,,,,,239,,,,,,anglais,,,,,,9783791336855,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.885182023,,,,,,,0plNQgAACAAJ,Études,0,0,,,
Linea diretta nuovo,,Corso di italiano per principianti,,,Corrado Conforti,"Conforti, Corrado",,,,,,Guerra Edizioni,,,2005,,,,,,,,,,,,,,,,254,,,,,,italien,,,,,,9788877157355,0,1.000000,,Reading,2019/07/28,,,,,,,0,,,,2019/07/28 19:36:37.869151949,,Italien,,,,,,Méthodes,0,0,,http://images.amazon.com/images/P/8877157356.01Z.jpg,"[{""status"":0,""activityYear"":2019,""param1"":""0"",""param2"":""1"",""param3"":"""",""contact"":"""",""comments"":"""",""deviceName"":""iPhone de Laura"",""type"":12,""addedDate"":""2019\/07\/28 19:41:34.988737940"",""activityDate"":""2019\/07\/28""}]"
"Linea diretta nuovo, 1b",,Corso di italiano per principianti,,,Corrado Conforti,"Conforti, Corrado",,,,,,Guerra,,,2005,,,,,,,,,,,,,,,,234,,,,,,italien,,,,,,9788877157362,0,1.000000,,Unread,,,,,,,,0,,,,2019/07/28 19:36:37.870393991,,Italien,,,,,,Méthodes,0,0,,http://images.amazon.com/images/P/8877157364.01Z.jpg,
Lokāh Samastāh Sukhino Bhavantu,,,,,Jivamukti Yoga,"Yoga, Jivamukti",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anglais,,,,,,,0,0.000000,,Unread,,,,,,,,0,,,,2020/01/01 16:45:51.971848964,,,,,,,,,0,0,,https://s3.amazonaws.com/kimicoapps-bookbuddy/04AA4647-88D7-4D9A-80B9-1B7565E449AF,
Love in vain,,"Robert Johnson, 1911-1938",,,"Jean-Michel Dupont, Mezzo","Dupont, Jean-Michel",,,,,,Glénat,,,2014,,,,,"Né dans une plantation de coton au sud des Etats-Unis, Robert Leroy Johnson (1911-1938) est aujourd'hui considéré comme l'un des plus grands guitaristes de tous les temps. La légende veut qu'à un carrefour, il ait vendu son âme au diable pour hériter de sa virtuosité. Beau garçon, on lui prête également une réputation de coureur de jupons invétéré et d'écumeur de troquets notoire. Une vie de débauche qui le mènera, à l'âge de 27 ans, à une mort prématurée et voilée de mystère. Le premier d'une longue lignée d'artistes maudits partis trop jeunes... Durant sa courte carrière, Robert Johnson aura seulement laissé une trentaine de titres enregistrés et 3 photos. Mais sa vie, sa musique et sa mort en ont fait une légende pour plusieurs générations de bluesmen et de rockers. Découvrez son histoire... En grands amoureux du blues et de la musique du Delta, Jean-Michel Dupont, par son écriture subtile, et Mezzo, par son graphisme léché, signent un somptueux album comme une ode à la mémoire de ce père du blues qui a inspiré tant de grands musiciens comme Jimi Hendrix, Bob Dylan ou encore les Rolling Stones.",,,,,,,,,,,72,,,,,,français,,,,,,9782344003398,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:53:10.898483991,,,,,,,q9HsoQEACAAJ,Bande Dessinée,0,0,,http://images.amazon.com/images/P/2344003398.01Z.jpg,
"Lumière sur les ""Yoga sūtra"" de Patañjali",,,,,Belur Krishnamacharya Sundararaja Iyengar,"Iyengar, Belur Krishnamacharya Sundararaja",,,,,,Buchet-Chastel,,,2012,,,,,"La philosophie du yoga fut exposée pour la première fois dans les Yoga Sûtra, collection d'aphorismes écrits il y a plus de deux mille ans par le sage indien Patanjali. Les Sûtra constituent la première enquête sur le psychisme humain. Patanjali y décrit l'énigme de l'existence humaine et indique comment nous sommes en mesure de nous transformer, grâce à la pratique du yoga. Nous pouvons maîtriser notre mental et nos émotions, et surmonter les obstacles à notre évolution spirituelle afin d'atteindre le but du yoga : kaivalya, la libération vis-à-vis des désirs de ce monde et de nos actions, et l'union avec le divin. Les Sûtra sont commentés par B. K. S. lyengar à la lumière de sa propre sagesse et de son expérience. Il en résulte un ouvrage fort accessible qui sera d'une grande aide aux étudiants de philosophie indienne et aux pratiquants de yoga.",,,,,,,,,,,390,,,,,,français,,,,,,9782283025772,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 19:24:09.814136981,,,,,,,uAVULgEACAAJ,Méthodes,0,0,,http://images.amazon.com/images/P/228302577X.01Z.jpg,
Lutter ensemble,,Pour de nouvelles complicités politiques,,,Juliette Rousseau,"Rousseau, Juliette",,,,,,Cambourakis,,2018/10/31,2018,,,,,"De la ZAD à la Palestine, de la marche pour le climat de New York aux camps de réfugié.es de La Chapelle en passant par le tarmac des aéroports londoniens, Juliette Rousseau, militante altermondialiste, coordinatrice de la Coalition contre la COP 21 en 2015, part à la rencontre de collectifs en lutte contre les rapports de domination liés à la classe, au genre, à la race ou encore à la condition physique et mentale à l'oeuvre dans la société, collectifs qui ont aussi en commun d'interroger l'existence et la reproduction de ces mêmes rapports de domination à l'intérieur des espaces de lutte. A partir de nombreux entretiens, ce livre invite à explorer des formes d'organisation et de solidarité à même de créer les conditions de nouvelles complicités politiques qui ne soient pas aveugles aux oppressions croisées.",,,,,,,,,,,428,,,,,,français,,,,,,9782366243734,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.799718976,,,,,,,d-FLvgEACAAJ,Essai,0,0,,http://images.amazon.com/images/P/2366243731.01Z.jpg,
Ma vie,,Esquisse de quelques souvenirs,,,Lou Andreas-Salomé,"Andreas-Salomé, Lou",,,,,,Presses Universitaires de France - PUF,,2015/04/22,2015,,,,,"«Un serviteur qui venait l’hiver nous apporter en ville des oeufs frais de notre maison de campagne me raconta qu’il avait vu, au milieu du jardin, devant la maisonnette qui m’appartenait à moi toute seule, “un couple” désireux d’entrer, mais qu’il avait éconduit. Quand il revint la fois suivante, je lui demandai des nouvelles du couple, sans doute parce que l’idée qu’ils avaient dû depuis souffrir du froid et de la faim m’inquiétait : “Où ont-ils bien pu aller ? Eh bien, m’annonça-t-il, ils ne se sont pas éloignés. Alors ils sont toujours devant la petite maison ? Eh bien, ce n’est pas cela non plus : ils se sont complètement transformés, ils sont devenus de plus en plus minces et petits ; ils se sont tant amenuisés qu’ils ont fini par s’effondrer complètement.” Car, un matin qu’il balayait devant la maison, il n’avait plus trouvé que les boutons noirs du manteau blanc de la femme, et, de l’homme, il ne restait plus qu’un chapeau tout bosselé ; mais le sol à cet endroit était encore couvert de leurs larmes glacées.»",,,,,,,,,,,315,,,,,,français,,,,,,9782130651987,0,0.000000,,Unread,,,,,,,,0,,,,2020/05/11 16:12:01.758877038,,,,,,,mJxxrgEACAAJ,Biographie,0,0,,http://images.amazon.com/images/P/2130651984.01Z.jpg,
Ma vie et la danse,,Mémoires ; suivis de La danse ; Danse ultra violette ; Le langage de la danse ; Théorie de la danse ; L'oiseau noir,,,Loïe Fuller,"Fuller, Loïe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,9782913661042,0,0.000000,,Unread,,,,,,,,0,,,,2019/09/29 13:09:58.909996032,,,,,,,,Biographie,0,0,,http://images.amazon.com/images/P/2913661041.01Z.jpg,
Ma vie et la danse,,Mémoires ; suivis de La danse ; Danse ultra violette ; Le langage de la danse ; Théorie de la danse ; L'oiseau noir,,,Loïe Fuller,"Fuller, Loïe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,français,,,,,,9782913661042,0,0.000000,,Unread,,,,,,,,0,,,,2019/09/29 13:10:26.686414957,,,,,,,,Biographie,0,0,,http://images.amazon.com/images/P/2913661041.01Z.jpg,
Magritte,,,,,Michel Draguet,"Draguet, Michel",,,,,,Gallimard,,,2014,,,,Biography,,,,,,,,,,,,408,,,,,,français,,,,,,9782070450176,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 19:54:29.645583987,,,,,,,,Études,0,0,,http://images.amazon.com/images/P/2070450171.01Z.jpg,
Maguy Marin,,,,,Collectif,Collectif,,,,,,,,,,,,,,,,,,,,,,,,,125,,,,,,français,,,,,,9782842607500,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 20:02:29.006610035,,,,,,,,Œuvre d’artiste,0,0,,http://images.amazon.com/images/P/2842607503.01Z.jpg,
Manifeste contre la normalisation gay,,,,,Alain Naze,"Naze, Alain",,,,,,La Fabrique éditions,,,2017,,,,,"Alors qu'elle obtenait des droits formels et une reconnaissance étatique, la ""communauté gay"" aurait peu à peu glissé vers la droite, jusqu'à céder aux sirènes du nationalisme et du racisme. C'est ce paradoxe qu'interroge Alain Naze, non pour le réfuter mais pour en préciser les causes et les conditions. Il revient sur les débats autour du pacs et du ""mariage pour tous"", le combat contre le sida, l'essoufflement des mouvements LGBT, et met à jour la puissante lame de fond de la normalisation gay. En acceptant le modèle hétérocentré, pour des bénéfices limités et très inégalement répartis en son sein, la soi-disant communauté gay a abandonné ce qui précisément la constituait en communauté politique : ses luttes émancipatrices - et s'est rendue perméable aux idées réactionnaires. Pour Alain Naze, il est urgent de renouer avec l'élan révolutionnaire des premiers mouvements de libération homosexuelle et de ""rendre à l'homosexualité son devenir-plébéien, c'est-à-dire de faire en sorte que nous réapprenions à entendre et à désirer les appels au dévoiement, les incitations au détournement, à la dérive"".",,,,,,,,,,,138,,,,,,français,,,,,,9782358720991,0,1.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.875412940,,Genre,,,,,Xf_stAEACAAJ,Essai,0,0,,http://images.amazon.com/images/P/2358720992.01Z.jpg,
Manifeste Des Femmes,,pour passer de la colère au pouvoir,,,Lise Payette,"Payette, Lise",,,,,,Québec Amérique,,,2015,,,,,,,,,,,,,,,,27,,,,,,français,,,,,,9782764431375,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.843222975,,,,,,,,Essai,0,0,,http://images.amazon.com/images/P/2764431376.01Z.jpg,
Manuel De Résistance Féministe,,pour mettre fin aux inégalités persistantes et contrer l'antiféminisme,,,Marie-Ève Surprenant,"Surprenant, Marie-Ève",,,,,,Éditions du rémue-menage,,,2015,,,,,,,,,,,,,,,,181,,,,,,français,,,,,,9782890915404,0,0.000000,,Unread,,,,,,,,0,,,,2019/07/28 18:07:28.874047994,,,,,,,,Essai,0,0,,http://images.amazon.com/images/P/2890915409.01Z.jpg,
